"Źródło","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Gospodarstwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wiersz POLSKA",9187,11870,14896,17091,20582,23449,25944,26598,24829,22277,22435,20257,19207
"Suma pozostałych",9187,11870,14896,17091,20582,23449,25944,26598,24829,22277,22435,20257,19207
"Wiers POLSKA niepoprawny",0,0,0,0,0,0,0,0,0,0,0,0,0
"Użytki rolne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wiersz POLSKA",228038.2,287528.6,314847.6,367062,519068.5,605519.6,661688,669970,657902,580730,536579,494978,484677
"Suma pozostałych",228038.2,287528.9,314847.7,367061,519068.5,605519.6,661686,669971,657902,580731,536577,494977,484676
"Wiers POLSKA niepoprawny",0,1,1,1,0,0,1,1,0,1,1,1,1
